dataset,method,sample_id,graph_path,Nodes,Edges,Density,Avg Degree,Degree Mean,Degree Std,Degree Min,Degree Max,Transitivity,Avg Clustering,Connected Components,LCC Size,LCC Fraction,Assortativity,Avg Shortest Path (LCC),Diameter (LCC),_raw_nodes,_raw_edges,_raw_is_directed,_raw_is_multigraph,_raw_selfloops,node_overlap_ref_frac,node_overlap_common,status,error
football,EC-SBM,0,results\final\final_dataset\EC-SBM\football_0.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.6586600372266247,7.0,17.0,0.4442389758179232,0.4381986697587724,1.0,115.0,1.0,0.17461860097185947,2.420289855072464,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,1,results\final\final_dataset\EC-SBM\football_1.gml,115.0,660.0,0.10068649885583524,11.478260869565217,11.478260869565217,1.8050548640919066,7.0,18.0,0.44600872870618047,0.44198407872320933,1.0,115.0,1.0,0.08432140112883572,2.434324942791762,4.0,115.0,660.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,10,results\final\final_dataset\EC-SBM\football_10.gml,115.0,660.0,0.10068649885583524,11.478260869565217,11.478260869565217,1.771012120779265,7.0,19.0,0.4443348365276212,0.44066938139558975,1.0,115.0,1.0,0.1337702927938392,2.4189168573607933,4.0,115.0,660.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,11,results\final\final_dataset\EC-SBM\football_11.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.7005725712075004,7.0,18.0,0.448300283286119,0.43938990676842343,1.0,115.0,1.0,0.17967113369216012,2.4291380625476737,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,12,results\final\final_dataset\EC-SBM\football_12.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.6949608401161989,7.0,18.0,0.45616029558050303,0.4495717127430686,1.0,115.0,1.0,0.16248948007305128,2.4356979405034327,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,13,results\final\final_dataset\EC-SBM\football_13.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.674810600696138,7.0,18.0,0.45372076541459955,0.4481254593658689,1.0,115.0,1.0,0.15402214724117996,2.4286803966437835,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,14,results\final\final_dataset\EC-SBM\football_14.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.6691122573956134,7.0,18.0,0.45776450511945393,0.4530580743496346,1.0,115.0,1.0,0.1813625849863344,2.4414950419527077,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,15,results\final\final_dataset\EC-SBM\football_15.gml,115.0,660.0,0.10068649885583524,11.478260869565217,11.478260869565217,1.7759153235148617,7.0,19.0,0.44807665210652387,0.4452351388459882,1.0,115.0,1.0,0.14091573029223917,2.41998474446987,4.0,115.0,660.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,16,results\final\final_dataset\EC-SBM\football_16.gml,115.0,658.0,0.1003813882532418,11.443478260869565,11.443478260869565,1.6898227555514764,7.0,18.0,0.44897669130187606,0.44370321068530794,1.0,115.0,1.0,0.18096550472658557,2.4231884057971014,4.0,115.0,658.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,17,results\final\final_dataset\EC-SBM\football_17.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.7158441021802555,7.0,18.0,0.4566048421350701,0.452853848339782,1.0,115.0,1.0,0.14170310066688988,2.4276125095347063,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
football,EC-SBM,18,results\final\final_dataset\EC-SBM\football_18.gml,115.0,659.0,0.10053394355453853,11.460869565217392,11.460869565217392,1.7459864859367396,7.0,19.0,0.4456075824020371,0.44039718757783125,1.0,115.0,1.0,0.11790871045529355,2.4233409610983982,4.0,115.0,659.0,0.0,0.0,0.0,1.0,115,ok,
