dataset,method,sample_id,n_nodes,n_edges,node_overlap_ref_frac,node_overlap_common,deg_wasserstein,clust_wasserstein,spath_wasserstein,alg_conn_abs_diff,louvain_mod_abs_diff,louvain_comm_size_js,netlsd_l2,status,error
karate,EC-SBM,0,34.0,76.0,1.0,34.0,0.11764705882352944,0.14959546892937894,0.1729055258467023,0.42614632884731596,0.05709147420872335,0.75,1.3563478667374245,ok,
karate,EC-SBM,1,34.0,78.0,1.0,34.0,0.0,0.13406251092237248,0.1836007130124777,0.37770033741202447,0.06204799474030248,0.7770078865364001,1.2709365713316358,ok,
karate,EC-SBM,10,34.0,78.0,1.0,34.0,0.0,0.17631199538638984,0.1960784313725491,0.436876184241451,0.0905654174884945,0.6875981034650653,1.5076174375416573,ok,
karate,EC-SBM,11,34.0,77.0,1.0,34.0,0.05882352941176472,0.12291426374471356,0.19073083778966132,0.3897487882980699,0.045494715075134695,0.6556390622295665,1.212510925304529,ok,
karate,EC-SBM,12,34.0,78.0,1.0,34.0,0.0,0.16252533990423262,0.196078431372549,0.46441894298044306,0.08637409598948065,1.0,1.6009500983443932,ok,
karate,EC-SBM,13,34.0,77.0,1.0,34.0,0.05882352941176472,0.14739130054873997,0.18360071301247766,0.35349251254174874,0.05460249041667631,1.0,1.3040476708593787,ok,
karate,EC-SBM,14,34.0,78.0,1.0,34.0,0.0,0.08251852434378387,0.1746880570409982,0.25161482657517786,0.049145299145299304,0.5,1.129627356764773,ok,
karate,EC-SBM,15,34.0,78.0,1.0,34.0,0.0,0.20947188144419976,0.1836007130124777,0.39784253548569826,0.07593688362919138,0.75,1.413573709257134,ok,
karate,EC-SBM,16,34.0,78.0,1.0,34.0,0.0,0.13165041417636572,0.18181818181818188,0.35112788186802346,0.03607823800131499,0.6556390622295665,1.1620916006753206,ok,
karate,EC-SBM,17,34.0,78.0,1.0,34.0,0.0,0.17659903533605956,0.2014260249554367,0.45467352204671807,0.07979947403024329,1.0,1.5228141398814798,ok,
karate,EC-SBM,18,34.0,78.0,1.0,34.0,0.0,0.06265902974380484,0.21212121212121215,0.335922299096413,0.06582840236686394,0.7126417936566767,1.4390238592455775,ok,
karate,EC-SBM,19,34.0,77.0,1.0,34.0,0.05882352941176472,0.20210758100031456,0.18716577540106955,0.42949846290251215,0.0862267103525845,0.5,1.4131587949055118,ok,
karate,EC-SBM,2,34.0,77.0,1.0,34.0,0.05882352941176472,0.04854732445562896,0.20855614973262032,0.4360223242133684,0.059072046834284575,0.7770078865364001,1.4261202796302537,ok,
karate,EC-SBM,20,34.0,78.0,1.0,34.0,0.0,0.059342560553633225,0.1925133689839572,0.29033212261924024,0.0738001314924393,1.0,1.2235970268514669,ok,
karate,EC-SBM,21,34.0,77.0,1.0,34.0,0.05882352941176472,0.15914027821467264,0.17468805704099816,0.37468471860235497,0.06522822831514147,1.0,1.4271992558929112,ok,
karate,EC-SBM,22,34.0,78.0,1.0,34.0,0.0,0.21033824403201562,0.19964349376114088,0.4188301184753843,0.10272846811308356,0.7770078865364001,1.4574812092843565,ok,
karate,EC-SBM,23,34.0,77.0,1.0,34.0,0.05882352941176472,0.1207201775540876,0.18360071301247766,0.36754451652878517,0.05797574054317317,1.0,1.3564414227501087,ok,
karate,EC-SBM,24,34.0,77.0,1.0,34.0,0.05882352941176472,0.12115401419034635,0.17468805704099827,0.4041465405036069,0.07728759751736775,0.7770078865364001,1.2089637813540721,ok,
karate,EC-SBM,25,34.0,78.0,1.0,34.0,0.0,0.17119945126000485,0.2049910873440286,0.3759684711188239,0.07158119658119666,1.0,1.5555632992884894,ok,
karate,EC-SBM,26,34.0,78.0,1.0,34.0,0.0,0.1797285135087903,0.23529411764705876,0.46167048683701795,0.12467126890203817,0.7770078865364001,1.8671447655723956,ok,
karate,EC-SBM,27,34.0,78.0,1.0,34.0,0.0,0.12963501800006988,0.1657754010695187,0.3787563817808244,0.04758382642998038,1.0,1.1961808890923606,ok,
karate,EC-SBM,28,34.0,77.0,1.0,34.0,0.05882352941176472,0.1065003095712438,0.18181818181818182,0.43877023930535786,0.05763841553052346,0.5540157730728,1.2403633215678211,ok,
karate,EC-SBM,29,34.0,78.0,1.0,34.0,0.0,0.13742048512809757,0.20677361853832443,0.42237990075033316,0.09648257725180809,0.7770078865364001,1.569479500381504,ok,
karate,EC-SBM,3,34.0,78.0,1.0,34.0,0.0,0.21839196462898883,0.18894830659536543,0.40312970264074544,0.06821170282708744,0.5540157730728001,1.3860689809638211,ok,
karate,EC-SBM,4,34.0,78.0,1.0,34.0,0.0,0.07432456048373004,0.19429590017825316,0.34810903563145057,0.06467784352399741,0.7126417936566767,1.4073702111126074,ok,
karate,EC-SBM,5,34.0,78.0,1.0,34.0,0.0,0.127486805774003,0.19786096256684493,0.413883177140535,0.09549638395792254,0.5,1.476964440843589,ok,
karate,EC-SBM,6,34.0,78.0,1.0,34.0,0.0,0.13047604068365315,0.19073083778966138,0.46547923925335233,0.06402038132807364,0.7977186261552773,1.3571904656073328,ok,
karate,EC-SBM,7,34.0,78.0,1.0,34.0,0.0,0.20952212435776446,0.1960784313725491,0.42825259670244165,0.08990795529257078,0.7770078865364001,1.558372473918988,ok,
karate,EC-SBM,8,34.0,78.0,1.0,34.0,0.0,0.07270630177204572,0.18181818181818177,0.4079917748619082,0.04643326758711375,1.0,1.2586848504672694,ok,
karate,EC-SBM,9,34.0,77.0,1.0,34.0,0.05882352941176466,0.0512879661668589,0.19251336898395727,0.3667651367187097,0.06320427823924335,0.5,1.3161605729017356,ok,
karate,RECCS,0,34.0,65.0,1.0,34.0,0.7647058823529413,0.38669823544391024,0.2620320855614974,0.020797442192490967,0.020295857988165744,0.75,1.9582142145375798,ok,
karate,RECCS,1,34.0,67.0,1.0,34.0,0.7647058823529413,0.2644908676483071,0.20320855614973254,0.05794001263764326,0.026232763586465757,0.7770078865364001,1.3781286961933594,ok,
karate,RECCS,10,34.0,69.0,1.0,34.0,0.5294117647058824,0.18935162780318487,0.12834224598930494,0.10331205552935552,0.050857310818049506,0.75,0.9908630739160794,ok,
karate,RECCS,11,34.0,65.0,1.0,34.0,0.8235294117647061,0.3467461940212805,0.30124777183600715,0.08845482976487284,0.04680473372781063,1.0,2.0639343020134486,ok,
karate,RECCS,12,34.0,69.0,1.0,34.0,0.5882352941176472,0.22840734332948867,0.18360071301247782,0.0520259588912414,0.011789888007715521,0.6875981034650653,1.1859003839906332,ok,
karate,RECCS,13,34.0,64.0,1.0,34.0,0.823529411764706,0.36835089650833597,0.27629233511586454,0.05062780622723584,0.033525275055473314,0.6875981034650653,2.0667437979583516,ok,
karate,RECCS,14,34.0,64.0,1.0,34.0,0.8235294117647061,0.44251056037388214,0.2566844919786096,0.0694334470260044,0.004194451507026686,1.0,2.11017711222301,ok,
karate,RECCS,15,34.0,67.0,1.0,34.0,0.7058823529411765,0.3863120203518127,0.196078431372549,0.01520316676348149,0.0020625697793817954,1.0,1.0000987656161588,ok,
karate,RECCS,16,34.0,68.0,1.0,34.0,0.5882352941176471,0.258207445188414,0.15508021390374338,0.13223375849783725,0.001911176061096198,0.3310236596092001,0.6317224853130429,ok,
karate,RECCS,17,34.0,65.0,1.0,34.0,0.7647058823529413,0.41327280466553823,0.21925133689839582,0.08998834002706124,0.002781065088757362,0.7977186261552773,1.5452100337013706,ok,
karate,RECCS,18,34.0,67.0,1.0,34.0,0.6470588235294118,0.21199001882392887,0.16934046345811055,0.043244724513030075,0.0027308700689785415,1.0,1.430166925832058,ok,
karate,RECCS,19,34.0,65.0,1.0,34.0,0.7647058823529412,0.4070403116683393,0.31729055258467026,0.14586035476446135,0.013550295857988115,1.0,1.8465743145723954,ok,
karate,RECCS,2,34.0,66.0,1.0,34.0,0.7058823529411766,0.31781401508910156,0.24064171122994657,0.03977604505224319,0.0214408745877277,0.75,1.561595352835439,ok,
karate,RECCS,20,34.0,71.0,1.0,34.0,0.4705882352941177,0.2694904432361179,0.14438502673796796,0.0767295420671329,0.01237221646404807,1.0,1.3076148211252467,ok,
karate,RECCS,21,34.0,64.0,1.0,34.0,0.8823529411764707,0.35285136336174394,0.3012477718360071,0.128251895043499,0.029985235992973314,1.0,2.0192313230065135,ok,
karate,RECCS,22,34.0,70.0,1.0,34.0,0.47058823529411775,0.2675949531053337,0.1871657754010696,0.1056633763492334,0.012580002415167213,0.5540157730728,1.4914012528738345,ok,
karate,RECCS,23,34.0,63.0,1.0,34.0,0.8823529411764706,0.3894040263849952,0.1942959001782532,0.09998346549344794,0.01602545467014327,0.5,1.3065226104342915,ok,
karate,RECCS,24,34.0,73.0,1.0,34.0,0.3529411764705883,0.2300090096370373,0.12834224598930477,0.0006257483283910736,0.009095315239490032,0.5,0.9748714712119988,ok,
karate,RECCS,25,34.0,67.0,1.0,34.0,0.7058823529411765,0.2756450729201594,0.14795008912655966,0.10387504366308387,0.029797031797648643,1.0,0.9322145743609611,ok,
karate,RECCS,26,34.0,62.0,1.0,34.0,0.9411764705882354,0.38757252455349334,0.3547237076648841,0.08749921513450876,0.03891948722053573,0.7770078865364001,2.932933898186229,ok,
karate,RECCS,27,34.0,64.0,1.0,34.0,0.823529411764706,0.32808479006575886,0.3137254901960785,0.09428135645025115,0.048173712555473314,0.75,2.0062307464966915,ok,
karate,RECCS,28,34.0,65.0,1.0,34.0,0.823529411764706,0.3688177499163658,0.32085561497326204,0.055653097592771705,0.03130177514792892,0.7977186261552773,1.944345838412878,ok,
karate,RECCS,29,34.0,61.0,1.0,34.0,1.0,0.4221302870524324,0.29590017825311943,0.0399023446864315,0.02279601303333545,0.5,2.0870227239423484,ok,
karate,RECCS,3,34.0,65.0,1.0,34.0,0.823529411764706,0.3061554122540281,0.3689839572192513,0.22428648022208175,0.006449704142011847,0.7126417936566767,2.4296844254500547,ok,
karate,RECCS,4,34.0,64.0,1.0,34.0,0.8823529411764707,0.4277005337991497,0.2049910873440286,0.13847309629006077,0.017045782867973314,1.0,1.5045931306655969,ok,
karate,RECCS,5,34.0,65.0,1.0,34.0,0.823529411764706,0.4357878712982519,0.23351158645276282,0.09105392707774795,0.0017159763313609466,0.7770078865364001,1.2830104160257771,ok,
karate,RECCS,6,34.0,65.0,1.0,34.0,0.7647058823529412,0.30837933212500684,0.19251336898395732,0.08664815207498633,0.00952662721893488,0.5540157730728001,1.1443397685740613,ok,
karate,RECCS,7,34.0,68.0,1.0,34.0,0.5882352941176471,0.26917719439345733,0.13190730837789666,0.12374086448025512,0.020796436395651208,0.7770078865364001,0.9527139334651434,ok,
karate,RECCS,8,34.0,69.0,1.0,34.0,0.5294117647058825,0.2356812785446003,0.17647058823529405,0.037677572235893964,0.027437861122607266,0.75,1.6097796193745537,ok,
karate,RECCS,9,34.0,67.0,1.0,34.0,0.6470588235294119,0.32602002476569947,0.23885918003565065,0.009017018803782417,0.016427071566129436,0.75,1.6904253859250782,ok,
karate,VAE,0,34.0,78.0,1.0,34.0,0.6470588235294119,0.1974789579893386,0.089126559714795,0.06743618655175243,0.015125622395774474,1.0,1.1364714032091117,ok,
karate,VAE,1,34.0,79.0,1.0,34.0,0.5294117647058825,0.08022472529392943,0.05882352941176466,0.112316204766643,0.004443944488191021,0.75,1.1270103434098202,ok,
karate,VAE,10,34.0,78.0,1.0,34.0,0.23529411764705888,0.010839112828732202,0.01782531194295911,0.010919773261852561,0.01735340670863278,0.75,0.5387032752568871,ok,
karate,VAE,11,34.0,79.0,1.0,34.0,0.6470588235294119,0.15169842172437326,0.03743315508021389,0.0045807952901948945,0.003797538343011664,0.7770078865364001,0.6656375591814904,ok,
karate,VAE,12,34.0,78.0,1.0,34.0,0.5294117647058825,0.1658702072629408,0.10338680926916222,0.08318650763277363,0.03651482179701643,0.6556390622295665,1.0704121562956224,ok,
karate,VAE,13,34.0,78.0,1.0,34.0,0.3529411764705883,0.024344844889827594,0.03743315508021394,0.015956114136784327,0.020418670466059496,0.75,0.9457529970164206,ok,
karate,VAE,14,34.0,78.0,1.0,34.0,0.47058823529411775,0.12398007125515773,0.09090909090909105,0.02334122850930176,0.03482514261174202,1.0,0.9576083028501695,ok,
karate,VAE,15,34.0,78.0,1.0,34.0,0.5294117647058825,0.13815266336892634,0.07308377896613194,0.08405079375039665,0.045679302448913606,0.5,1.185976805541468,ok,
karate,VAE,16,34.0,78.0,1.0,34.0,0.5882352941176472,0.18767862760077292,0.057040998217468775,0.018611440669231483,0.010285843570446374,0.7126417936566767,0.659074920834212,ok,
karate,VAE,17,34.0,78.0,1.0,34.0,0.47058823529411775,0.10421323678244093,0.08377896613190738,0.13640588712646262,0.00801427365706081,1.0,1.1294433643970636,ok,
karate,VAE,18,34.0,78.0,1.0,34.0,0.5294117647058824,0.12143767900688314,0.07486631016042777,0.10848681219844208,0.010023806568185134,0.7770078865364001,1.411315008795324,ok,
karate,VAE,19,34.0,79.0,1.0,34.0,0.5882352941176472,0.042961743178006134,0.09447415329768277,0.05137184178791221,0.04882976507494563,1.0,0.8642027530369157,ok,
karate,VAE,2,34.0,79.0,1.0,34.0,0.41176470588235303,0.07030107051733349,0.07308377896613188,0.10647653246967959,0.04804357328443126,0.75,1.1981353078184869,ok,
karate,VAE,20,34.0,78.0,1.0,34.0,0.47058823529411775,0.09024697428676666,0.0659536541889485,0.008721413043351056,0.03421860713776992,0.5,0.8983545208224682,ok,
karate,VAE,21,34.0,78.0,1.0,34.0,0.47058823529411775,0.09889690278963634,0.0623885918003565,0.0241359290712978,0.04324751139682137,1.0,0.5330575591776805,ok,
karate,VAE,22,34.0,78.0,1.0,34.0,0.47058823529411775,0.20196434188648715,0.08734402852049927,0.09495058542318602,0.0074042026742299205,0.5,0.6384610123659629,ok,
karate,VAE,23,34.0,78.0,1.0,34.0,0.47058823529411775,0.21505957998172526,0.06595365418894827,0.06786143098846198,0.018120401825709953,0.7770078865364001,0.9181185309421287,ok,
karate,VAE,24,34.0,78.0,1.0,34.0,0.47058823529411764,0.177711307339335,0.06238859180035661,0.03686386775147704,0.016108115567097236,0.5,0.6092682912758978,ok,
karate,VAE,25,34.0,78.0,1.0,34.0,0.3529411764705883,0.07227246513578692,0.06417112299465233,0.07795930886121544,0.049988014852813845,0.75,1.1714763579254004,ok,
karate,VAE,26,34.0,78.0,1.0,34.0,0.4117647058823529,0.052213996115380204,0.024955436720142665,0.034024436617404286,0.03512776705498505,0.5,1.1914935036977752,ok,
karate,VAE,27,34.0,79.0,1.0,34.0,0.5294117647058825,0.17270928321966383,0.07130124777183605,0.03525485513852855,0.01908381442477386,0.75,0.6104317075090983,ok,
karate,VAE,28,34.0,81.0,1.0,34.0,0.7647058823529412,0.12081265044067808,0.10516934046345802,0.07882168144485585,0.01359951414357874,0.4646059900014654,0.9568246338428834,ok,
karate,VAE,29,34.0,78.0,1.0,34.0,0.7647058823529413,0.17705461109440346,0.14438502673796783,0.07772746272555014,0.018299293774133196,1.0,1.363974158017606,ok,
karate,VAE,3,34.0,78.0,1.0,34.0,0.5294117647058824,0.11242185822635647,0.057040998217468886,0.12712904453356322,0.008781510454666575,0.5,0.5331817672977466,ok,
karate,VAE,4,34.0,79.0,1.0,34.0,0.5882352941176472,0.1360893671879831,0.11586452762923344,0.13714125852392994,0.008339832831056326,0.5,0.9653766061350132,ok,
karate,VAE,5,34.0,79.0,1.0,34.0,0.7058823529411766,0.14652043938376116,0.06417112299465239,0.03483943825888913,0.031616321744686426,1.0,1.1055432161026943,ok,
karate,VAE,6,34.0,78.0,1.0,34.0,0.2941176470588236,0.06539910973301977,0.06773618538324422,0.006190683760351701,0.007486673103238306,0.5540157730728,0.6109405280801389,ok,
karate,VAE,7,34.0,78.0,1.0,34.0,0.47058823529411775,0.12452331885722889,0.0445632798573975,0.01509649936225349,0.015129183481336184,1.0,0.8615162822989892,ok,
karate,VAE,8,34.0,78.0,1.0,34.0,0.41176470588235303,0.053721374742135966,0.060606060606060774,0.0017847163857371284,0.009767752462168933,1.0,0.5187782485804971,ok,
karate,VAE,9,34.0,78.0,1.0,34.0,0.5882352941176472,0.180688885316913,0.07308377896613194,0.011646259348026433,0.01872773688459417,0.75,0.5257544352108238,ok,
polbooks,EC-SBM,0,105.0,441.0,1.0,105.0,0.0,0.27961492352119816,0.5923076923076924,0.6830510304572494,0.1427774435548973,1.0,5.224070764399891,ok,
polbooks,EC-SBM,1,105.0,440.0,1.0,105.0,0.01904761904761909,0.27455192106802595,0.5732600732600733,0.7716707154887693,0.1338036770471448,0.7454842658866759,5.0580824866060174,ok,
polbooks,EC-SBM,10,105.0,441.0,1.0,105.0,0.0,0.2670986510948244,0.591025641025641,0.7536028908365718,0.13878990749739029,1.0,5.079955210030097,ok,
polbooks,EC-SBM,11,105.0,441.0,1.0,105.0,0.0,0.2539962300574573,0.5534798534798535,0.6922138941390382,0.12122778060581746,1.0,4.978270932189517,ok,
polbooks,EC-SBM,12,105.0,441.0,1.0,105.0,0.0,0.271049494855506,0.5820512820512821,0.8982318102942303,0.13862793794766576,1.0,5.184906268035791,ok,
polbooks,EC-SBM,13,105.0,441.0,1.0,105.0,0.0,0.2784532617048818,0.5727106227106228,0.837528431541232,0.13060658881844484,1.0,5.159542423607018,ok,
polbooks,EC-SBM,14,105.0,441.0,1.0,105.0,0.0,0.2737709524801424,0.6131868131868132,1.0146636005350582,0.1428211496238706,1.0,5.465267754195448,ok,
polbooks,EC-SBM,15,105.0,441.0,1.0,105.0,0.0,0.25376747875347955,0.5780219780219781,0.8840293702495577,0.12978902823412047,1.0,5.130282522769564,ok,
polbooks,EC-SBM,16,105.0,441.0,1.0,105.0,0.0,0.2473970192089147,0.5791208791208792,0.8120516935059535,0.13242167615345446,1.0,5.004327662135834,ok,
polbooks,EC-SBM,17,105.0,441.0,1.0,105.0,0.0,0.26944325511912,0.5540293040293041,0.7465989410824648,0.13327780091628477,1.0,5.098662888989261,ok,
polbooks,EC-SBM,18,105.0,441.0,1.0,105.0,0.0,0.25686969796159653,0.5844322344322345,0.8651373210070205,0.12960392017729216,1.0,5.1916774997409725,ok,
polbooks,EC-SBM,19,105.0,441.0,1.0,105.0,0.0,0.24783834741964078,0.6054945054945056,1.0179627965100355,0.1273492012073158,1.0,5.373995501879193,ok,
polbooks,EC-SBM,2,105.0,441.0,1.0,105.0,0.0,0.24863490145150818,0.5622710622710623,0.7422895323255755,0.11663864336361895,1.0,5.006877946800346,ok,
polbooks,EC-SBM,20,105.0,441.0,1.0,105.0,0.0,0.24270440229311835,0.5840659340659341,0.8059346379111726,0.14249978146965503,1.0,5.034069611401437,ok,
polbooks,EC-SBM,21,105.0,440.0,1.0,105.0,0.01904761904761909,0.2400339428569146,0.5816849816849817,0.8429099802203129,0.13890698283226866,1.0,5.106064891355667,ok,
polbooks,EC-SBM,22,105.0,441.0,1.0,105.0,0.0,0.24054938856871438,0.5648351648351649,0.7832836467302439,0.13312611514749506,1.0,5.01701521734277,ok,
polbooks,EC-SBM,23,105.0,441.0,1.0,105.0,0.0,0.23114118030399783,0.5556776556776557,0.7151144915777815,0.11462559324561267,0.6979078010016793,4.863737216930219,ok,
polbooks,EC-SBM,24,105.0,441.0,1.0,105.0,0.0,0.2572700706981037,0.5793040293040294,0.8472419707129256,0.13303870300954845,1.0,5.124098468443221,ok,
polbooks,EC-SBM,25,105.0,441.0,1.0,105.0,0.0,0.26266901297687983,0.5763736263736264,0.8902331672597205,0.13363516230377248,1.0,5.1917244800513345,ok,
